from_domain_char_count,body_word_count,subject_word_count,longest_sentence_length,has_quoted_reply,has_email_closing,link_count,capital_letter_count,capital_letter_ratio,subject_caps_ratio,punctuation_count,punctuation_ratio,question_mark_count,number_count,number_ratio,finance_symbol_count,emoji_count,emoji_ratio,has_important,feedback_words,day_of_week,time_of_day,letter_count,whitespace_ratio,label
12,12265,7,390,1,0,49,4576,0.0782,0.0435,17404,0.1606,35,6429,0.1099,2,4,0.0,1,1,0,1,58528,0.442,0
12,16412,10,359,1,0,69,7336,0.0938,0.102,23035,0.172,58,8213,0.1051,2,2,0.0,1,1,5,0,78224,0.3114,0
10,4159,16,141,1,1,52,10742,0.3221,0.0667,4459,0.0987,33,5587,0.1679,0,42,0.0009,1,0,5,0,33355,0.053,0
9,1814,8,193,1,0,20,242,0.0304,0.0645,2660,0.2139,1,618,0.0779,0,0,0.0,1,1,0,1,7966,0.1544,0
12,13272,6,392,1,0,54,5073,0.08,0.0256,18924,0.1632,40,7055,0.1113,2,4,0.0,1,1,5,1,63420,0.4167,0
12,17394,9,396,1,0,72,7619,0.0918,0.1212,24345,0.1683,55,8546,0.103,2,4,0.0,1,1,4,1,83019,0.3457,0
12,16323,11,407,1,0,70,8052,0.1021,0.6344,23127,0.1662,57,9201,0.1168,6,4,0.0,1,1,2,1,78864,0.3541,0
9,3938,8,295,1,0,45,3410,0.1424,0.1944,5833,0.1692,39,2854,0.1193,0,3,0.0001,1,1,1,0,23949,0.0727,0
11,18,5,9,0,0,1,6,0.0652,0.2381,13,0.1171,1,19,0.2676,0,0,0.0,0,0,6,2,92,0.1127,0
18,1383,13,201,1,1,9,522,0.0804,0.0816,1883,0.1993,8,648,0.1006,0,0,0.0,1,1,0,1,6491,0.0734,0
10,71,12,22,0,1,3,24,0.0541,0.1017,32,0.0646,0,12,0.0312,0,0,0.0,0,0,1,2,444,0.1714,0
19,6119,6,663,1,0,68,2876,0.1064,0.1351,9148,0.2023,57,5047,0.187,0,0,0.0,1,1,5,3,27029,0.1489,0
18,1660,5,185,1,1,24,149,0.0212,0.1,2220,0.2078,2,683,0.0977,0,0,0.0,1,0,3,1,7013,0.1123,0
12,13019,10,345,1,0,51,4908,0.08,0.0882,18410,0.168,41,6819,0.1112,2,2,0.0,1,1,4,1,61378,0.3732,0
12,4327,4,441,1,0,31,2364,0.1003,0.0455,5799,0.1717,20,1994,0.0847,0,4,0.0001,1,0,1,3,23571,0.0963,0
21,10632,4,306,1,0,63,2052,0.0439,0.04,17383,0.1829,49,4833,0.1034,26,0,0.0,1,0,5,2,46770,0.5577,0
21,10636,5,307,1,0,64,2055,0.044,0.05,17388,0.1829,49,4862,0.104,25,0,0.0,1,1,4,2,46753,0.5578,0
12,16925,11,400,1,0,72,8072,0.0992,0.1311,23998,0.172,63,9493,0.1168,2,2,0.0,1,1,4,0,81344,0.3026,0
12,18015,8,402,1,0,78,8307,0.0948,0.102,25672,0.1688,63,9817,0.1121,6,4,0.0,1,1,4,1,87649,0.3288,0
9,1034,4,257,1,0,10,207,0.0531,0.0714,1601,0.19,5,364,0.0941,5,0,0.0,1,0,1,0,3897,0.6684,0
13,1405,7,192,1,0,19,186,0.0291,0.1892,1816,0.1482,0,412,0.0649,0,0,0.0,1,0,3,0,6388,0.5786,0
19,7978,6,525,1,0,26,3272,0.0886,0.1905,11237,0.2009,5,5688,0.1542,5,4,0.0001,1,0,0,1,36919,0.0565,0
21,11408,4,303,1,0,67,1971,0.0398,0.0556,18773,0.1848,54,5111,0.1033,24,0,0.0,1,0,3,0,49499,0.5702,0
9,308,4,33,1,1,5,80,0.0522,0.8182,255,0.0927,0,117,0.0769,0,0,0.0,0,0,4,3,1533,0.5591,0
12,4573,5,390,1,0,39,2878,0.1112,0.0476,6200,0.1683,28,2361,0.0913,0,4,0.0001,1,1,4,0,25875,0.0871,0
15,4331,7,300,1,0,28,1398,0.0786,0.4286,5769,0.1401,16,4465,0.2516,7,1,0.0,1,1,0,1,17789,0.7418,0
12,14311,14,406,1,0,56,5714,0.0841,0.1098,20244,0.1653,46,7459,0.1099,5,2,0.0,1,1,4,1,67962,0.3936,0
19,4915,7,700,1,0,38,1446,0.0687,0.0357,7176,0.2039,27,3169,0.1509,0,0,0.0,1,1,3,3,21035,0.1828,0
12,16226,7,392,1,0,68,7566,0.0975,0.0,23017,0.1717,58,8897,0.1146,2,2,0.0,1,1,0,0,77637,0.3139,0
26,4326,14,109,1,0,63,5699,0.1891,0.1731,5818,0.1137,12,3357,0.1116,24,0,0.0,1,0,5,0,30138,0.3953,0
12,17429,17,393,1,0,70,7442,0.091,0.0972,24459,0.1746,54,8629,0.1056,2,2,0.0,1,1,0,1,81760,0.3079,0
21,7633,6,301,1,0,57,988,0.0297,0.0294,12450,0.1788,41,4286,0.129,26,0,0.0,1,0,1,2,33253,0.5921,0
31,30,2,11,0,0,0,22,0.1134,0.0667,17,0.0697,0,9,0.0503,0,0,0.0,0,0,1,1,194,0.2179,0
12,11053,13,390,1,0,43,3960,0.076,0.0816,15647,0.1578,29,5790,0.1112,4,4,0.0,1,1,2,1,52111,0.4896,0
5,643,4,58,1,1,12,242,0.075,0.0263,653,0.1452,4,132,0.0414,0,0,0.0,0,0,2,3,3228,0.1614,0
16,2153,6,237,1,1,17,337,0.0368,0.1111,3175,0.2248,14,1196,0.1308,0,1,0.0001,1,1,3,1,9168,0.0665,0
21,545,12,35,1,1,1,224,0.0803,0.1692,199,0.0568,0,83,0.0304,0,2,0.0006,1,1,5,1,2791,0.1816,0
12,13398,11,401,1,0,55,5104,0.0798,0.1594,19108,0.1638,39,7096,0.1111,2,4,0.0,1,1,0,1,63926,0.4139,0
19,6080,3,580,1,0,22,2746,0.0984,0.0,8985,0.2061,5,4924,0.1764,0,2,0.0,1,0,2,1,27911,0.063,0
12,12313,8,402,1,0,49,4734,0.0806,0.0943,17493,0.1605,34,6252,0.1065,2,4,0.0,1,1,3,1,58751,0.4492,0
17,1592,2,197,1,1,5,129,0.018,0.0476,2041,0.1648,1,449,0.063,0,0,0.0,1,0,3,1,7151,0.3872,0
12,10719,11,404,1,0,42,3727,0.0729,0.2949,15165,0.1564,30,5479,0.1074,2,4,0.0,1,1,0,1,51106,0.4918,0
11,257,12,48,1,1,0,71,0.0632,0.0882,283,0.1571,0,58,0.0532,0,0,0.0,1,0,4,0,1124,0.3394,0
21,10632,4,306,1,0,63,2051,0.0437,0.04,17383,0.1829,49,4708,0.1004,26,0,0.0,1,0,3,3,46895,0.5562,0
16,80,4,22,1,1,2,71,0.1989,0.1667,87,0.1529,0,73,0.2192,0,0,0.0,0,0,4,1,357,0.2282,0
12,12252,13,393,1,0,49,4469,0.0768,0.3125,17405,0.161,35,6558,0.1128,2,4,0.0,1,1,3,1,58200,0.4442,0
10,1072,4,321,1,1,0,123,0.0293,0.1429,825,0.1399,0,214,0.0512,0,0,0.0,0,1,1,1,4204,0.1599,0
9,332,5,83,1,1,1,47,0.0308,0.1034,447,0.1967,1,72,0.048,0,0,0.0,0,0,5,0,1528,0.1688,0
12,11673,6,344,1,0,45,5437,0.0931,0.1143,15848,0.1541,45,6074,0.1041,0,5,0.0,1,1,1,0,58389,0.3836,0
10,4386,9,96,1,0,12,1722,0.0802,0.1087,5294,0.1737,0,647,0.0302,0,0,0.0,1,0,1,1,21471,0.1456,0
10,4418,13,100,1,0,12,1706,0.0788,0.0448,5305,0.1729,0,646,0.0299,0,0,0.0,1,0,4,1,21654,0.1455,0
52,4800,8,165,1,0,24,512,0.0243,0.0847,7577,0.2344,1,1388,0.066,0,1,0.0,1,1,1,0,21090,0.1107,0
12,4128,8,303,1,0,24,2234,0.1066,0.0278,5360,0.1754,17,2013,0.0962,0,2,0.0001,1,1,2,1,20962,0.1001,0
12,14073,4,249,1,0,57,6000,0.0883,0.0714,18915,0.1303,49,7536,0.1109,0,2,0.0,1,1,0,0,67949,0.7451,0
8,9123,8,210,1,0,45,2950,0.069,0.0625,13804,0.188,4,4943,0.1157,2,3,0.0,1,1,2,1,42745,0.2798,0
12,13717,11,400,1,0,55,5658,0.087,0.0845,19427,0.1689,44,7346,0.1131,2,2,0.0,1,1,5,0,65002,0.3568,0
10,39,12,36,0,0,1,37,0.1434,0.1053,10,0.0389,0,9,0.0448,0,0,0.0,0,0,2,2,258,0.1841,0
12,10241,8,344,1,0,38,3430,0.072,0.1321,14392,0.1616,29,5213,0.1096,2,2,0.0,1,1,3,2,47621,0.4567,0
21,10603,3,303,1,0,63,2027,0.0437,0.0714,17380,0.1836,49,4860,0.1048,26,0,0.0,1,0,3,2,46379,0.5617,0
13,11328,4,108,1,0,12,908,0.0177,0.2143,18105,0.222,4,3425,0.0668,1,0,0.0,1,0,4,1,51322,0.1701,0
18,1662,5,109,1,0,14,2570,0.2344,0.25,2065,0.1082,12,1097,0.1002,3,1,0.0001,1,0,3,0,10964,0.454,0
12,12019,4,399,1,0,70,7509,0.1221,0.0526,15714,0.1763,57,6264,0.1019,2,2,0.0,1,1,5,1,61484,0.0894,0
21,10631,5,307,1,0,63,2053,0.0438,0.05,17382,0.183,49,4715,0.1007,26,0,0.0,1,1,4,2,46859,0.5566,0
10,483,4,40,0,0,10,79,0.0253,0.1111,213,0.0563,0,34,0.011,0,0,0.0,0,0,0,1,3121,0.1422,0
13,399,1,63,1,0,5,159,0.0847,0.1111,512,0.1882,0,131,0.0701,2,0,0.0,0,1,5,0,1877,0.1103,0
21,9600,6,304,1,0,67,2318,0.0537,0.0345,15531,0.1792,53,5264,0.122,26,0,0.0,1,0,6,3,43163,0.5276,0
12,17802,8,396,1,0,75,8034,0.0944,0.1463,24312,0.1357,55,9068,0.1066,2,4,0.0,1,1,3,0,85069,0.713,0
12,1174,3,64,1,0,18,352,0.0714,0.069,1812,0.1911,4,643,0.1313,0,0,0.0,0,0,3,0,4928,0.4346,0
17,2687,12,219,1,1,36,2860,0.1742,0.1346,3171,0.1426,3,1524,0.0931,0,2,0.0001,1,1,0,2,16420,0.0711,0
8,2209,8,52,1,1,10,424,0.0317,0.1765,3258,0.1225,4,7950,0.5952,0,0,0.0,0,1,1,1,13390,0.152,0
19,9803,9,660,1,0,79,5180,0.1163,0.0588,14088,0.1891,75,7271,0.1634,0,0,0.0,1,1,3,3,44526,0.1939,0
10,221,10,33,1,1,3,44,0.044,0.1167,182,0.1368,2,63,0.067,0,0,0.0,0,1,0,0,1000,0.15,0
11,198,4,17,1,1,2,62,0.0644,0.1212,133,0.1046,2,14,0.0151,0,0,0.0,0,0,6,0,963,0.2086,0
12,16492,11,400,1,0,68,7028,0.0892,0.0845,23455,0.173,54,8581,0.109,2,2,0.0,1,1,4,0,78809,0.3134,0
