from_domain,body_word_count,subject_word_count,longest_sentence_length,has_quoted_reply,has_email_closing,link_count,has_unsubscribe,capital_letter_count,capital_letter_ratio,subject_caps_ratio,punctuation_count,punctuation_ratio,question_mark_count,number_count,number_ratio,finance_symbol_count,emoji_count,emoji_ratio,has_important,feedback_words,day_of_week,time_of_day,letter_count,whitespace_ratio,label
ses.binance.com,4022,10,270,True,False,25,False,514,0.0298,0.2727,5933,0.213,2,1880,0.1091,0,0,0.0,True,False,Monday,Morning,17254,0.1634,Good
linkedin.com,11392,16,393,True,False,46,True,4464,0.0822,0.0847,16171,0.1584,34,6206,0.1144,2,4,0.0,True,True,Wednesday,Morning,54323,0.4661,Good
linkedin.com,17370,9,393,True,False,72,True,7858,0.0949,0.1395,24270,0.1688,57,8477,0.1025,2,4,0.0,True,True,Saturday,Morning,82769,0.3403,Good
identity.oci.oraclecloud.com,2757,7,145,True,False,9,False,310,0.0257,0.0238,4321,0.2167,1,809,0.0672,0,0,0.0,True,True,Monday,Morning,12076,0.2303,Good
steampowered.com,2781,13,136,True,True,23,True,616,0.0487,0.125,3762,0.1235,7,1280,0.1016,2,3,0.0001,True,True,Monday,Afternoon,12660,1.0158,Good
linkedin.com,10447,10,402,True,False,41,True,3670,0.0741,0.1077,14757,0.1556,29,5474,0.1106,2,4,0.0,True,True,Sunday,Morning,49560,0.5034,Good
invoiceocean.com,80,4,22,True,True,2,False,51,0.1496,0.1667,87,0.1545,0,83,0.2618,0,0,0.0,False,False,Tuesday,Evening,341,0.2397,Good
notice.aliexpress.com,7796,6,301,True,False,57,False,1614,0.046,0.0294,12750,0.1766,41,4703,0.1342,26,0,0.0,True,False,Sunday,Night,35086,0.5612,Good
linkedin.com,10654,7,396,True,False,42,True,3749,0.0746,0.1,15055,0.1566,29,5595,0.1114,2,4,0.0,True,True,Wednesday,Morning,50283,0.4991,Good
compensalife.lt,544,10,77,True,False,12,True,95,0.0365,0.0602,720,0.1837,2,178,0.0707,0,0,0.0,False,False,Wednesday,Morning,2602,0.1973,Good
github.com,4389,7,204,True,False,92,True,18139,0.3866,0.075,5150,0.0772,45,8163,0.1741,0,2,0.0,True,False,Monday,Evening,46915,0.1375,Good
linkedin.com,10774,8,393,True,False,42,True,3862,0.0757,0.0588,15236,0.1567,30,5563,0.1091,2,4,0.0,True,True,Monday,Morning,51035,0.4962,Good
legal.spotify.com,1844,6,73,True,True,27,False,780,0.0907,0.129,2235,0.1758,1,951,0.1109,0,0,0.0,True,True,Friday,Evening,8604,0.1102,Good
em.probroexpress.lt,7306,9,548,True,False,29,True,3035,0.0895,0.0333,10672,0.206,6,5123,0.1513,3,3,0.0001,True,True,Tuesday,Morning,33896,0.0626,Good
linkedin.com,3459,9,265,True,True,22,True,952,0.0568,0.1186,4323,0.1756,14,1380,0.0826,0,10,0.0004,True,False,Wednesday,Morning,16763,0.1218,Good
vinted.com,59,11,20,False,False,0,False,45,0.1351,0.1818,14,0.0363,0,14,0.0484,0,0,0.0,False,False,Friday,Morning,333,0.2388,Good
s.circlekextra.lt,4250,7,231,True,False,33,False,592,0.0321,0.2143,5567,0.1697,20,1793,0.0976,0,2,0.0001,True,False,Friday,Evening,18418,0.3848,Good
linkedin.com,7156,8,284,True,True,39,True,3907,0.1056,0.1304,8178,0.1554,42,3088,0.0835,1,28,0.0005,True,True,Tuesday,Night,37010,0.1111,Good
autobusubilietai.lt,616,4,118,True,False,11,False,276,0.0893,0.0323,806,0.1433,1,332,0.1085,0,0,0.0,True,False,Wednesday,Morning,3091,0.4667,Good
splitwise.com,1418,4,75,True,True,10,True,725,0.1007,0.1379,1349,0.1107,6,523,0.073,0,0,0.0,True,True,Sunday,Morning,7198,0.4367,Good
noriukortele.lt,244,4,43,True,True,4,False,31,0.0262,0.1351,350,0.1616,1,124,0.1081,0,0,0.0,False,False,Saturday,Afternoon,1184,0.4752,Good
email.apple.com,2658,14,252,True,True,16,False,346,0.0283,0.0755,3001,0.1405,0,827,0.0679,0,1,0.0,True,False,Sunday,Afternoon,12224,0.44,Good
em.probroexpress.lt,2741,4,475,True,False,13,True,1638,0.1256,0.0556,4175,0.1993,4,2801,0.2151,0,4,0.0002,True,False,Tuesday,Morning,13038,0.0724,Good
linkedin.com,18348,7,400,True,False,79,True,8232,0.0929,0.0444,26127,0.1697,62,10053,0.1135,2,7,0.0,True,True,Wednesday,Morning,88654,0.3268,Good
linkedin.com,17288,9,396,True,False,71,True,7747,0.0946,0.25,24154,0.1679,56,9073,0.1108,6,4,0.0,True,True,Tuesday,Afternoon,81934,0.3492,Good
linkedin.com,17646,10,393,True,False,73,True,7772,0.0926,0.1186,24658,0.1691,57,8718,0.1039,2,4,0.0,True,True,Saturday,Morning,83974,0.3376,Good
vinted.lt,1814,8,193,True,False,20,False,242,0.0304,0.0645,2660,0.2139,1,621,0.0783,0,0,0.0,True,True,Thursday,Morning,7963,0.1544,Good
anteja.lt,278,4,38,True,True,2,False,81,0.0633,0.8182,237,0.0936,0,132,0.104,0,0,0.0,False,False,Thursday,Morning,1280,0.7037,Good
google.com,7539,6,512,True,False,30,False,1823,0.0529,0.0909,8970,0.1683,8,2756,0.08,0,5,0.0001,True,False,Saturday,Morning,34463,0.1826,Good
notice.aliexpress.com,8776,6,307,True,False,64,False,1865,0.0474,0.0294,14266,0.1722,43,5498,0.1399,31,0,0.0,True,False,Friday,Morning,39339,0.6048,Good
linkedin.com,10735,10,393,True,False,42,True,3789,0.0744,0.0972,15191,0.1564,30,5605,0.1102,2,4,0.0,True,True,Thursday,Morning,50951,0.4969,Good
communication.microsoft.com,2256,6,135,True,True,23,False,792,0.0732,0.0455,2590,0.1608,22,858,0.0794,0,0,0.0,True,True,Thursday,Afternoon,10823,0.1723,Good
notice.aliexpress.com,7796,6,301,True,False,57,False,1614,0.046,0.0294,12750,0.1766,41,4726,0.1349,26,0,0.0,True,False,Sunday,Morning,35063,0.5616,Good
info.spark.lt,4486,5,84,True,False,19,False,892,0.0433,0.0606,6810,0.2069,12,2077,0.1011,0,7,0.0002,True,False,Tuesday,Morning,20581,0.1687,Good
firefox.com,2391,5,191,True,False,12,False,175,0.0169,0.0909,3616,0.189,10,637,0.0617,0,0,0.0,True,False,Friday,Morning,10350,0.4402,Good
linkedin.com,17050,9,396,True,False,87,True,10350,0.1186,0.1282,24424,0.1636,77,10160,0.1165,0,4,0.0,True,True,Tuesday,Evening,87250,0.3136,Good
trafi.com,1032,4,257,True,False,10,False,207,0.0531,0.0714,1598,0.1898,5,361,0.0933,5,0,0.0,True,False,Tuesday,Afternoon,3896,0.6686,Good
intl.paypal.com,3558,4,168,True,False,31,False,680,0.0451,0.0345,4794,0.1496,16,2375,0.1578,0,1,0.0,True,True,Sunday,Night,15077,0.6517,Good
linkedin.com,17323,8,396,True,False,71,True,7554,0.0918,0.225,24196,0.168,58,8849,0.1076,4,4,0.0,True,True,Saturday,Morning,82245,0.3475,Good
linkedin.com,17744,9,396,True,False,73,True,7555,0.0895,0.098,24798,0.1688,56,8700,0.1031,2,4,0.0,True,True,Thursday,Afternoon,84414,0.3424,Good
linkedin.com,17490,11,405,True,False,75,True,8410,0.0992,0.0833,24450,0.1359,57,10114,0.1194,2,4,0.0,True,True,Tuesday,Morning,84779,0.7133,Good
gmail.com,7,1,7,False,False,0,False,2,0.037,0.0,1,0.0196,0,0,0.0,0,0,0.0,False,False,Tuesday,Night,54,0.1628,Good
accounts.google.com,1108,6,91,True,False,11,False,245,0.052,0.037,1324,0.1872,9,522,0.1113,0,1,0.0001,True,True,Sunday,Afternoon,4716,0.1135,Good
organizations.oci.oraclecloud.com,1097,7,302,True,True,12,False,165,0.0345,0.1471,1346,0.1259,0,323,0.068,0,1,0.0001,False,True,Thursday,Evening,4786,0.899,Good
vinted.lt,1052,12,105,True,False,16,True,100,0.0222,0.1509,1576,0.2216,2,426,0.0956,0,0,0.0,True,True,Tuesday,Evening,4508,0.1466,Good
